iter	Passed	Remaining
0	6	6525
1	12	6377
2	20	6961
3	28	7141
4	38	7709
5	52	8774
6	67	9620
7	81	10123
8	90	10004
9	100	9975
10	111	10034
11	119	9814
12	126	9593
13	135	9526
14	148	9740
15	164	10138
16	176	10194
17	182	9960
18	192	9951
19	199	9758
20	208	9734
21	214	9524
22	223	9492
23	234	9540
24	245	9575
25	251	9435
26	257	9284
27	263	9132
28	268	8986
29	276	8951
30	283	8862
31	292	8857
32	303	8888
33	309	8807
34	316	8715
35	324	8693
36	329	8585
37	339	8605
38	351	8662
39	359	8637
40	370	8660
41	378	8630
42	384	8549
43	394	8571
44	403	8562
45	414	8603
46	423	8582
47	427	8485
48	440	8544
49	447	8509
50	459	8555
51	472	8605
52	484	8654
53	498	8739
54	511	8787
55	524	8836
56	533	8821
57	539	8761
58	551	8797
59	560	8784
60	572	8808
61	582	8814
62	593	8832
63	602	8807
64	614	8833
65	625	8854
66	636	8863
67	642	8810
68	649	8758
69	656	8721
70	668	8742
71	673	8680
72	679	8633
73	685	8582
74	691	8525
75	696	8466
76	700	8401
77	705	8337
78	711	8289
79	715	8233
80	720	8178
81	725	8116
82	729	8057
83	733	8001
84	738	7944
85	742	7889
86	746	7835
87	750	7780
88	754	7727
89	759	7679
90	763	7628
91	767	7578
92	772	7530
93	776	7482
94	781	7440
95	787	7416
96	792	7376
97	798	7347
98	802	7305
99	806	7262
100	811	7220
101	815	7180
102	819	7139
103	824	7099
104	828	7061
105	832	7022
106	836	6985
107	841	6953
108	846	6918
109	850	6882
110	854	6847
111	859	6816
112	864	6783
113	868	6749
114	872	6714
115	877	6690
116	883	6666
117	887	6633
118	891	6601
119	896	6572
120	900	6541
121	905	6517
122	910	6489
123	914	6459
124	918	6430
125	922	6400
126	927	6373
127	931	6346
128	935	6319
129	940	6291
130	944	6267
131	949	6240
132	953	6214
133	957	6190
134	962	6164
135	966	6140
136	971	6117
137	975	6091
138	979	6067
139	983	6043
140	988	6023
141	993	6001
142	998	5986
143	1004	5969
144	1009	5952
145	1013	5929
146	1017	5906
147	1021	5883
148	1027	5869
149	1031	5847
150	1036	5825
151	1041	5808
152	1047	5799
153	1054	5794
154	1063	5796
155	1068	5781
156	1074	5767
157	1081	5761
158	1089	5760
159	1094	5744
160	1098	5726
161	1104	5715
162	1110	5701
163	1116	5689
164	1124	5690
165	1130	5680
166	1135	5664
167	1140	5648
168	1144	5630
169	1149	5613
170	1154	5596
171	1158	5579
172	1164	5564
173	1168	5547
174	1172	5529
175	1177	5511
176	1181	5492
177	1185	5475
178	1190	5459
179	1194	5441
180	1198	5424
181	1202	5405
182	1207	5389
183	1213	5380
184	1218	5368
185	1223	5355
186	1227	5338
187	1232	5321
188	1236	5304
189	1240	5288
190	1244	5272
191	1248	5256
192	1253	5240
193	1257	5224
194	1261	5207
195	1266	5194
196	1271	5181
197	1275	5168
198	1280	5152
199	1284	5137
200	1288	5123
201	1293	5108
202	1297	5092
203	1301	5078
204	1306	5066
205	1310	5052
206	1315	5037
207	1320	5026
208	1324	5013
209	1328	4999
210	1334	4988
211	1338	4975
212	1342	4960
213	1346	4947
214	1351	4934
215	1355	4921
216	1360	4907
217	1364	4894
218	1368	4881
219	1372	4867
220	1377	4854
221	1381	4841
222	1385	4828
223	1390	4815
224	1395	4805
225	1399	4792
226	1403	4780
227	1408	4767
228	1413	4759
229	1418	4747
230	1422	4736
231	1428	4729
232	1433	4717
233	1437	4704
234	1441	4692
235	1445	4679
236	1449	4667
237	1454	4655
238	1458	4644
239	1462	4632
240	1467	4621
241	1471	4609
242	1475	4597
243	1479	4585
244	1484	4573
245	1488	4562
246	1492	4551
247	1496	4539
248	1501	4527
249	1505	4516
250	1509	4505
251	1514	4494
252	1520	4489
253	1524	4477
254	1528	4466
255	1533	4456
256	1537	4445
257	1541	4434
258	1546	4423
259	1550	4413
260	1554	4402
261	1558	4390
262	1562	4379
263	1566	4368
264	1572	4360
265	1576	4349
266	1581	4341
267	1585	4331
268	1589	4320
269	1593	4309
270	1598	4299
271	1602	4288
272	1606	4278
273	1610	4268
274	1615	4258
275	1619	4247
276	1623	4237
277	1628	4229
278	1633	4220
279	1637	4211
280	1642	4203
281	1647	4193
282	1651	4184
283	1655	4174
284	1659	4164
285	1663	4154
286	1668	4143
287	1672	4133
288	1676	4123
289	1680	4113
290	1684	4104
291	1688	4094
292	1692	4084
293	1696	4074
294	1701	4066
295	1705	4056
296	1709	4046
297	1714	4038
298	1718	4029
299	1722	4019
300	1726	4010
301	1731	4001
302	1735	3992
303	1739	3983
304	1744	3974
305	1748	3965
306	1752	3956
307	1756	3947
308	1761	3939
309	1766	3931
310	1770	3922
311	1774	3912
312	1778	3904
313	1783	3896
314	1787	3887
315	1792	3878
316	1796	3870
317	1800	3861
318	1804	3852
319	1808	3843
320	1813	3835
321	1817	3826
322	1822	3819
323	1826	3811
324	1831	3803
325	1835	3795
326	1841	3789
327	1846	3782
328	1850	3775
329	1855	3766
330	1859	3758
331	1863	3749
332	1867	3741
333	1872	3733
334	1876	3724
335	1880	3716
336	1884	3708
337	1889	3700
338	1894	3693
339	1898	3684
340	1902	3676
341	1906	3668
342	1910	3660
343	1915	3653
344	1919	3645
345	1924	3636
346	1928	3629
347	1933	3621
348	1937	3613
349	1941	3605
350	1945	3597
351	1950	3591
352	1955	3584
353	1960	3576
354	1964	3568
355	1968	3561
356	1972	3553
357	1977	3545
358	1981	3537
359	1985	3529
360	1989	3521
361	1993	3513
362	1997	3505
363	2001	3497
364	2005	3489
365	2010	3481
366	2014	3474
367	2018	3466
368	2022	3458
369	2027	3451
370	2031	3443
371	2035	3436
372	2040	3429
373	2044	3421
374	2048	3414
375	2053	3408
376	2059	3402
377	2063	3395
378	2067	3388
379	2072	3381
380	2077	3374
381	2081	3367
382	2085	3360
383	2090	3353
384	2094	3345
385	2098	3338
386	2103	3331
387	2107	3323
388	2111	3316
389	2115	3309
390	2120	3302
391	2124	3294
392	2128	3287
393	2133	3281
394	2137	3274
395	2141	3266
396	2146	3260
397	2151	3254
398	2156	3247
399	2160	3241
400	2165	3234
401	2169	3227
402	2174	3221
403	2178	3214
404	2182	3206
405	2186	3198
406	2191	3192
407	2195	3186
408	2199	3178
409	2204	3172
410	2208	3165
411	2212	3157
412	2216	3150
413	2221	3144
414	2225	3137
415	2230	3130
416	2234	3123
417	2238	3117
418	2242	3110
419	2247	3103
420	2251	3096
421	2256	3091
422	2261	3084
423	2266	3079
424	2271	3072
425	2275	3065
426	2279	3058
427	2283	3052
428	2288	3045
429	2292	3038
430	2296	3031
431	2300	3024
432	2304	3018
433	2309	3011
434	2313	3005
435	2318	2999
436	2323	2992
437	2327	2986
438	2331	2979
439	2335	2973
440	2340	2967
441	2345	2961
442	2350	2954
443	2354	2947
444	2358	2941
445	2362	2934
446	2366	2928
447	2371	2921
448	2375	2915
449	2380	2909
450	2384	2903
451	2388	2896
452	2393	2889
453	2397	2883
454	2401	2876
455	2406	2870
456	2410	2864
457	2414	2857
458	2418	2851
459	2423	2844
460	2427	2838
461	2431	2831
462	2436	2826
463	2440	2819
464	2445	2813
465	2449	2806
466	2453	2800
467	2457	2793
468	2461	2786
469	2466	2781
470	2471	2775
471	2476	2769
472	2480	2764
473	2485	2758
474	2490	2752
475	2494	2745
476	2499	2740
477	2503	2733
478	2507	2727
479	2511	2721
480	2516	2715
481	2520	2708
482	2524	2702
483	2529	2696
484	2533	2690
485	2538	2684
486	2542	2678
487	2546	2672
488	2551	2665
489	2556	2660
490	2561	2655
491	2565	2649
492	2570	2643
493	2574	2636
494	2578	2630
495	2582	2624
496	2586	2617
497	2591	2611
498	2595	2605
499	2599	2599
500	2603	2593
501	2607	2587
502	2612	2580
503	2616	2574
504	2620	2568
505	2624	2562
506	2629	2556
507	2633	2550
508	2637	2544
509	2642	2538
510	2646	2532
511	2650	2526
512	2655	2520
513	2659	2514
514	2663	2508
515	2668	2502
516	2672	2496
517	2676	2490
518	2681	2485
519	2687	2481
520	2692	2475
521	2697	2469
522	2701	2463
523	2706	2458
524	2710	2452
525	2715	2446
526	2719	2440
527	2723	2434
528	2728	2429
529	2732	2423
530	2736	2417
531	2740	2411
532	2745	2405
533	2750	2399
534	2754	2393
535	2758	2387
536	2762	2382
537	2767	2376
538	2771	2370
539	2776	2364
540	2780	2358
541	2784	2352
542	2788	2346
543	2792	2340
544	2796	2334
545	2800	2328
546	2806	2324
547	2811	2319
548	2815	2313
549	2819	2307
550	2825	2302
551	2829	2296
552	2833	2290
553	2838	2285
554	2842	2279
555	2846	2273
556	2850	2267
557	2854	2261
558	2859	2255
559	2863	2249
560	2868	2244
561	2873	2239
562	2877	2233
563	2881	2227
564	2886	2221
565	2890	2216
566	2894	2210
567	2901	2206
568	2905	2201
569	2911	2196
570	2916	2190
571	2920	2185
572	2925	2179
573	2929	2173
574	2933	2168
575	2937	2162
576	2941	2156
577	2945	2150
578	2950	2145
579	2954	2139
580	2958	2133
581	2963	2128
582	2967	2122
583	2971	2116
584	2975	2110
585	2979	2104
586	2983	2099
587	2988	2094
588	2993	2088
589	2997	2083
590	3001	2077
591	3006	2071
592	3010	2066
593	3014	2060
594	3019	2055
595	3024	2050
596	3029	2045
597	3034	2039
598	3038	2034
599	3042	2028
600	3047	2023
601	3052	2017
602	3056	2012
603	3060	2006
604	3064	2001
605	3069	1995
606	3073	1990
607	3080	1985
608	3084	1980
609	3090	1975
610	3095	1970
611	3099	1965
612	3106	1960
613	3112	1956
614	3117	1951
615	3123	1947
616	3128	1941
617	3132	1936
618	3138	1931
619	3142	1926
620	3148	1921
621	3153	1916
622	3157	1910
623	3161	1905
624	3166	1899
625	3170	1894
626	3175	1888
627	3179	1883
628	3183	1877
629	3187	1872
630	3192	1866
631	3196	1861
632	3200	1855
633	3205	1850
634	3209	1844
635	3213	1839
636	3218	1833
637	3222	1828
638	3226	1822
639	3230	1817
640	3235	1812
641	3239	1806
642	3244	1801
643	3248	1795
644	3252	1790
645	3256	1784
646	3260	1779
647	3265	1773
648	3269	1768
649	3273	1762
650	3277	1757
651	3282	1751
652	3286	1746
653	3290	1740
654	3295	1735
655	3300	1730
656	3304	1725
657	3308	1719
658	3314	1714
659	3319	1709
660	3323	1704
661	3329	1699
662	3333	1694
663	3338	1689
664	3343	1684
665	3347	1678
666	3351	1673
667	3356	1667
668	3360	1662
669	3365	1657
670	3369	1652
671	3373	1646
672	3377	1641
673	3382	1635
674	3386	1630
675	3390	1625
676	3394	1619
677	3399	1614
678	3403	1608
679	3407	1603
680	3411	1598
681	3416	1592
682	3421	1587
683	3425	1582
684	3429	1577
685	3434	1571
686	3438	1566
687	3442	1561
688	3447	1555
689	3451	1550
690	3455	1545
691	3459	1539
692	3463	1534
693	3468	1529
694	3476	1525
695	3481	1520
696	3490	1517
697	3496	1512
698	3501	1507
699	3507	1503
700	3515	1499
701	3521	1494
702	3529	1491
703	3535	1486
704	3544	1483
705	3548	1477
706	3552	1472
707	3557	1467
708	3561	1461
709	3565	1456
710	3570	1451
711	3574	1445
712	3578	1440
713	3583	1435
714	3587	1429
715	3591	1424
716	3595	1419
717	3600	1414
718	3605	1408
719	3609	1403
720	3613	1398
721	3617	1392
722	3621	1387
723	3625	1382
724	3630	1377
725	3634	1371
726	3639	1366
727	3643	1361
728	3647	1355
729	3651	1350
730	3655	1345
731	3660	1340
732	3665	1335
733	3669	1329
734	3673	1324
735	3678	1319
736	3682	1314
737	3686	1308
738	3690	1303
739	3696	1298
740	3700	1293
741	3704	1288
742	3708	1282
743	3713	1277
744	3717	1272
745	3722	1267
746	3726	1262
747	3731	1257
748	3735	1251
749	3739	1246
750	3744	1241
751	3750	1236
752	3755	1231
753	3760	1226
754	3764	1221
755	3768	1216
756	3772	1210
757	3776	1205
758	3780	1200
759	3789	1196
760	3797	1192
761	3801	1187
