iter	Passed	Remaining
0	5	5253
1	9	4888
2	13	4576
3	17	4446
4	21	4356
5	25	4294
6	29	4245
7	34	4278
8	38	4277
9	41	4128
10	45	4106
11	49	4091
12	53	4085
13	57	4067
14	61	4050
15	65	4035
16	69	4021
17	73	4004
18	77	3993
19	81	3983
20	85	3976
21	89	3975
22	93	3992
23	98	4023
24	104	4061
25	109	4086
26	113	4082
27	117	4073
28	121	4064
29	125	4055
30	129	4047
31	133	4042
32	137	4034
33	142	4042
34	146	4037
35	150	4035
36	155	4059
37	160	4054
38	164	4050
39	169	4058
40	173	4048
41	177	4038
42	181	4032
43	185	4028
44	190	4036
45	195	4058
46	199	4053
47	204	4052
48	208	4044
49	212	4037
50	217	4044
51	221	4040
52	225	4032
53	229	4025
54	234	4023
55	238	4019
56	242	4013
57	246	4009
58	251	4005
59	255	3999
60	259	3993
61	263	3988
62	267	3984
63	272	3978
64	276	3972
65	280	3974
66	285	3979
67	290	3976
68	294	3971
69	298	3967
70	302	3962
71	306	3954
72	311	3952
73	315	3952
74	320	3949
75	324	3946
76	329	3947
77	333	3941
78	337	3940
79	342	3937
80	346	3930
81	352	3945
82	356	3937
83	360	3931
84	365	3929
85	369	3923
86	373	3919
87	377	3914
88	381	3907
89	385	3901
90	390	3899
91	394	3893
92	398	3888
93	403	3889
94	407	3883
95	412	3880
96	416	3874
97	420	3869
98	424	3864
99	428	3858
100	433	3855
101	437	3850
102	441	3844
103	445	3838
104	449	3832
105	453	3824
106	457	3817
107	462	3819
108	466	3815
109	470	3808
110	474	3802
111	479	3800
112	483	3795
113	487	3791
114	492	3786
115	496	3780
116	500	3776
117	504	3770
118	508	3766
119	512	3761
120	517	3758
121	522	3759
122	526	3755
123	530	3749
124	534	3743
125	539	3739
126	543	3736
127	547	3731
128	551	3725
129	556	3721
130	560	3716
131	564	3711
132	568	3706
133	572	3703
134	577	3698
135	581	3694
136	586	3695
137	590	3691
138	595	3688
139	599	3683
140	604	3681
141	608	3678
142	613	3675
143	617	3670
144	621	3664
145	625	3659
146	629	3654
147	633	3649
148	638	3645
149	642	3641
150	648	3647
151	655	3654
152	661	3661
153	667	3666
154	673	3670
155	679	3677
156	685	3678
157	691	3684
158	696	3685
159	702	3687
160	707	3684
161	712	3683
162	717	3682
163	724	3693
164	729	3692
165	735	3693
166	739	3689
167	744	3684
168	748	3678
169	752	3672
170	756	3666
171	760	3660
172	764	3655
173	769	3653
174	773	3648
175	778	3642
176	782	3637
177	787	3635
178	791	3629
179	795	3625
180	800	3620
181	804	3616
182	810	3620
183	815	3615
184	819	3610
185	823	3604
186	829	3604
187	833	3598
188	837	3594
189	841	3589
190	846	3584
191	850	3579
192	854	3574
193	858	3568
194	863	3563
195	867	3557
196	871	3552
197	875	3548
198	880	3542
199	884	3537
200	889	3534
201	893	3529
202	900	3533
203	905	3531
204	909	3525
205	913	3520
206	919	3521
207	923	3516
208	927	3510
209	931	3505
210	935	3499
211	940	3497
212	945	3494
213	951	3493
214	955	3488
215	959	3483
216	963	3478
217	968	3474
218	972	3469
219	977	3464
220	981	3458
221	985	3452
222	989	3448
223	993	3443
224	997	3437
225	1001	3431
226	1005	3425
227	1011	3425
228	1016	3422
229	1020	3416
230	1024	3410
231	1028	3405
232	1032	3399
233	1036	3394
234	1041	3388
235	1045	3383
236	1049	3378
237	1054	3375
238	1058	3370
239	1062	3365
240	1067	3360
241	1072	3358
242	1076	3353
243	1080	3348
244	1085	3343
245	1089	3338
246	1093	3333
247	1097	3329
248	1102	3324
249	1106	3319
250	1110	3315
251	1115	3309
252	1119	3304
253	1123	3299
254	1127	3294
255	1132	3290
256	1136	3286
257	1140	3281
258	1145	3277
259	1150	3275
260	1155	3271
261	1159	3265
262	1163	3261
263	1168	3257
264	1172	3252
265	1176	3247
266	1180	3241
267	1184	3236
268	1188	3230
269	1192	3224
270	1197	3221
271	1201	3216
272	1206	3211
273	1210	3206
274	1214	3202
275	1219	3197
276	1223	3192
277	1228	3190
278	1232	3185
279	1236	3179
280	1240	3175
281	1245	3171
282	1251	3171
283	1257	3171
284	1264	3171
285	1268	3167
286	1273	3162
287	1277	3158
288	1281	3153
289	1285	3148
